failure_class,area,shape,mode,detail,signatures,rows,example_signature,example_seed,example_profile,example_replay_path
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<noscript> => <code>,1,1,11ad49b51dd4,1174634,template,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-1174634/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<label> => <i>,1,1,123d76332f1e,720952,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-720952/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<custom-element> => <footer>,1,1,13dbc5103d8e,94970,rawtext-rcdata,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-94970/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<a> => <small>,1,1,15e663e600cc,4834405,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-4834405/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<h3> => <form>,1,1,17073bc0d436,4198991,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-4198991/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<b> => <a>,1,1,18adb23470ef,4676404,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-4676404/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<custom-element> => <table>,1,1,195c3bf3d228,14737,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-14737/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<noscript> => <strong>,1,1,1ab0f73fb36e,4605776,rawtext-rcdata,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-4605776/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<h5> => <h5>,1,1,1ab258eebe53,1915494,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-1915494/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<img> => <s>,1,1,1aee130aa168,3428776,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-3428776/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<i> => <strong>,1,1,1c600ca356e4,5738942,comments-doctype-bogus,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-5738942/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<option> => <strong>,1,1,1d858cffdd7c,280091,attributes-entities,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-280091/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<select> => <custom-element>,1,1,1e66b5b35e01,7660819,attributes-entities,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-7660819/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<article> => <form>,1,1,1ef805456c7f,7786588,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-7786588/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<custom-element> => <article>,1,1,1f7afb850a49,8120055,full-document,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-8120055/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<img> => <code>,1,1,1f91c2ca7798,4262414,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-4262414/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<embed> => <a>,1,1,20ee667406d1,8228759,rawtext-rcdata,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-8228759/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<noscript> => <strong>,1,1,217fe4ffda05,2596742,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-2596742/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<b> => <em>,1,1,24c31aafeb2e,929778,body-fragment,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-929778/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<button> => <strong>,1,1,273a7b4ac26e,1697631,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-1697631/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<select> => <em>,1,1,282631f13b57,2978453,deep-nesting,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-2978453/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<custom-element> => <style>,1,1,29087a7d5afd,7726662,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-7726662/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<i> => <code>,1,1,2923514bf18b,4842408,full-document,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-4842408/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<custom-element> => <option>,1,1,2bc4e5d4da4c,6505541,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-6505541/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<mark> => <a>,1,1,2be221f30221,4681261,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-4681261/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<custom-element> => <mark>,1,1,2bf67b11f1e5,234824,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-234824/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<svg svg> => <s>,1,1,2bf6acdbdf45,3344022,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-3344022/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<em> => <a>,1,1,2bfe2f405231,1373329,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-1373329/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<mark> => <em>,1,1,2ddb8f1a4488,3040238,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-3040238/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<small> => <a>,1,1,2f6aa762fee3,4091556,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-4091556/primary/replay.json
