failure_class,area,shape,mode,detail,signatures,rows,example_signature,example_seed,example_profile,example_replay_path
mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<!-- <comment> --> => <!-- <comment> -->,12,12,1151fd6686ab,3552036,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-3552036/primary/replay.json
mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<svg svg> => <svg svg>,1,1,d6d3e6db0f81,7465281,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-7465281/primary/replay.json
mutation-tree-mismatch,SVG / foreign content tree construction,same-rendered-node-different-path-or-order,full-document,<!-- <comment> --> => <!-- <comment> -->,2,2,1e07c5433a1c,7270312,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-7270312/primary/replay.json
mutation-tree-mismatch,comment token placement,wordpress-scalar-dom-element,full-document,<!-- <comment> --> => <html>,1,1,036e2350cdfe,4870424,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-4870424/primary/replay.json
mutation-tree-mismatch,template content tree construction,same-rendered-node-different-path-or-order,full-document,<!-- <comment> --> => <!-- <comment> -->,10,10,07c2a1a57a57,1670077,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-1670077/primary/replay.json
normalize-invariant-failed,normalize idempotence,normalize-invariant-failed,full-document,normalize-not-idempotent,1,246,2c06964232b2,263446,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-263446/primary/replay.json
normalize-invariant-failed,normalize output becomes unsupported,normalize-invariant-failed,fragment-body,normalize-output-unsupported,1,271,b834774a51fd,782206,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-782206/primary/replay.json
normalize-invariant-failed,normalize output becomes unsupported,normalize-invariant-failed,full-document,normalize-output-unsupported,1,185,b64f93ac3d97,212181,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-212181/primary/replay.json
tag-invariant-failed,tag processor seek/token-stream invariant,tag-invariant-failed,fragment-body,seek-token-stream-mismatch,1,33,921cb853f225,783656,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-783656/primary/replay.json
tag-invariant-failed,tag processor seek/token-stream invariant,tag-invariant-failed,full-document,seek-token-stream-mismatch,1,12,1c4d91761ea7,932611,corpus-mutated,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-932611/primary/replay.json
timeout,processor timeout/hang candidate,timeout,fragment-body, => ,1,6,fffd81bafb7e,1880841,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-1880841/primary/replay.json
timeout,processor timeout/hang candidate,timeout,full-document, => ,1,2,2b23994deaf6,6016228,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-6016228/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,"""<value>"" => ""<value>""",940,1047,f67c3c2bd61a,72831,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-72831/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,"""<value>"" => ""<value>""",438,473,e00d6f0a11fb,3179861,full-document,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-3179861/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<!-- <comment> --> => <!-- <comment> -->,252,252,000d4e2af573,1846498,attributes-entities,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-1846498/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<math math> => <math math>,221,223,adce1fc06678,8468712,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-8468712/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<svg svg> => <svg svg>,123,123,07bb35b6eac7,6011891,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-6011891/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<math math> => <math math>,101,108,215d1999587d,2681801,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-2681801/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<!-- <comment> --> => <!-- <comment> -->,93,93,00eab20d8ff3,5552714,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-5552714/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<custom-element> => <custom-element>,75,75,04dfc74b4bbd,2284748,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-2284748/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<template> => <template>,61,61,033f6cf9c011,6581197,body-fragment,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-6581197/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<svg svg> => <svg svg>,53,53,0cdc49a64629,7850443,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-7850443/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<select> => <select>,42,42,06aaa004bdef,6945031,select,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-6945031/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<p> => <p>,37,37,08dbc6fb6e9a,4913204,comments-doctype-bogus,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-4913204/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<table> => <table>,34,34,0b693929abe2,4937981,select,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-4937981/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<custom-element> => <custom-element>,34,34,0f8f0d69765b,2764093,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-2764093/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<template> => <template>,32,32,021d91e1eed1,6826572,select,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-6826572/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,"""<value>"" => <font>",31,31,047e5a25aa36,1956247,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-1956247/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<title> => <title>,29,29,01fa8212a89e,182379,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-182379/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<textarea> => <textarea>,29,29,06a069c24b53,3033753,rawtext-rcdata,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-3033753/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<math math> => <font>,28,28,01a21faed42b,395587,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-395587/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,"""<value>"" => <b>",27,27,01c65f120dd6,3953913,comments-doctype-bogus,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-3953913/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<ul> => <ul>,26,26,08ac8f061f13,7321142,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-7321142/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<dl> => <dl>,25,25,022695646097,8360773,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-8360773/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,"""<value>"" => <form>",22,22,0101ad472931,3490491,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-3490491/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,"""<value>"" => <i>",22,22,06e4f2423ecb,2852001,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-2852001/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<p> => <p>,21,21,0c099601cc87,7651202,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-7651202/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<source> => <source>,20,20,08625794ce64,2192644,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-2192644/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,"""<value>"" => <a>",20,20,0c00f0bc69ec,2389893,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-2389893/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<h1> => <h1>,19,19,003b61c9e19e,4923295,rawtext-rcdata,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-4923295/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<math math> => <a>,19,19,05874e5365ec,3857471,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-3857471/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,"""<value>"" => <code>",19,19,262fcd8887a2,3467064,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-3467064/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,<!-- <comment> --> => <form>,18,18,0629914cc9d5,4694275,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-4694275/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<textarea> => <textarea>,18,18,084a2f589afb,1279842,select,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-1279842/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<svg svg> => <font>,18,18,0a195c0a70fe,6841355,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-6841355/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<math math> => <b>,18,18,19786113c11a,7052594,attributes-entities,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-7052594/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<select> => <select>,18,18,19c2ab695cdb,5244325,select,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-5244325/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<pre> => <pre>,17,17,011a63f36dfd,1495213,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-1495213/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<track> => <track>,17,17,0f3f8146cb01,8255530,attributes-entities,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-8255530/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<ol> => <ol>,17,17,1493ee4c1acc,2301588,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-2301588/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<hr> => <hr>,17,17,1e07c7568c65,1556119,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-1556119/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<dt> => <dt>,17,17,25ebe3fb513c,8263732,comments-doctype-bogus,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-8263732/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<main> => <main>,17,17,2946cd66a78f,6604675,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-6604675/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<blockquote> => <blockquote>,15,15,05b8436e387c,4230692,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-4230692/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<h3> => <h3>,15,15,07468185a9c2,7792889,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-7792889/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<table> => <table>,15,15,13f100d54bc3,4335967,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-4335967/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<title> => <title>,15,15,14075a10341d,3707399,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-3707399/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<math math> => <i>,14,14,01a93d3c0e4c,2703400,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-2703400/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<input> => <input>,14,14,06a2291feda8,7398746,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-7398746/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,full-document,"""<value>"" => <form>",14,14,12b7a840e414,8136476,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-8136476/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<div> => <div>,14,14,15a9584f1667,77158,full-document,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-77158/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<div> => <div>,13,13,002c9aa3d2e9,2441890,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-2441890/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<label> => <label>,13,13,025a427f0b38,1401905,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-1401905/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<style> => <style>,13,13,063d8938907f,3282051,body-fragment,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-3282051/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,full-document,"""<value>"" => <a>",13,13,07333958afd4,593208,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-593208/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<math math> => <strong>,13,13,0e9251e6e7b2,4332319,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-4332319/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,"""<value>"" => <em>",13,13,1276b8c0abfd,1622971,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-1622971/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<section> => <section>,13,13,12c676fec9d2,7273704,template,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-7273704/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,"""<value>"" => <strong>",13,13,15f03f0fe19b,3234799,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-3234799/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<custom-element> => <font>,13,13,1893c155acdd,860973,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-860973/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<footer> => <footer>,13,13,18f57e1a87db,2233583,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-2233583/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<noframes> => <noframes>,13,13,2430e10836cb,2783027,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-2783027/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<link> => <link>,13,13,28e4ce52a6d1,1227870,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-1227870/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,full-document,"""<value>"" => <i>",13,13,484f419ad61d,8007926,full-document,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-8007926/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,"""<value>"" => <u>",12,12,00307bee5e68,5391951,rawtext-rcdata,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-5391951/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<br> => <br>,12,12,00df1af2fef6,1456340,template,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-1456340/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<xmp> => <xmp>,12,12,07cafb8dd1e3,7690981,rawtext-rcdata,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-7690981/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,wordpress-scalar-dom-element,fragment-body,"""<value>"" => <small>",12,12,0de0abf8b7a5,6135146,comments-doctype-bogus,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-6135146/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,full-document,<dd> => <dd>,12,12,11f01146eb83,1497807,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-1497807/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<strong> => <strong>,12,12,1a0802fbf665,4776597,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-4776597/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<button> => <button>,12,12,1b00c132bb45,3936007,body-fragment,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-3936007/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<a> => <a>,11,11,0000d1460aa5,3099746,resource-stress,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-3099746/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<iframe> => <iframe>,11,11,01d2c2b5b780,6204784,rawtext-rcdata,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-6204784/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<svg svg> => <a>,11,11,037de465b309,2555455,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-2555455/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<embed> => <embed>,11,11,041eaec88097,912062,balanced,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-912062/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<i> => <i>,11,11,04e2fe642714,7478510,template,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-7478510/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,fragment-body,<math math> => <code>,11,11,04f196104e53,2140028,deep-nesting,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-2140028/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,different-element-lines,full-document,<math math> => <font>,11,11,10f5a3543f94,2857867,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-2857867/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<wbr> => <wbr>,11,11,1148690014c4,807928,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-807928/primary/replay.json
tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,fragment-body,<h2> => <h2>,11,11,11ea309195ee,4591929,foreign-content,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-4591929/primary/replay.json
